"txid","refid","time","type","subtype","aclass","asset","wallet","amount","fee","balance"
"L4NMBX-MVMJZ-I3RPPN","AGB3FU6-QGLWYF-VDUDOG","2023-01-21 23:36:00","withdrawal","","currency","BTC","spot / main",-0.0044900000,0.0000100000,0.0000034297
"LZTXO4-MLF2P-BYKSLI","QYY5JRU-PRS6SC-ID2PET","2023-02-06 19:09:55","deposit","","currency","EUR.HOLD","spot / main",20.0000,1.0000,19.0000
"LJDDQF-IXKD7-SNU3CH","TSUV34H-AE62E-MWIVDZ","2023-02-06 19:09:55","spend","","currency","EUR.HOLD","spot / main",-18.7200,0.2800,0.0000
"LYMS6L-QU754-24HI2P","TSUV34H-AE62E-MWIVDZ","2023-02-06 19:09:55","receive","","currency","BTC","spot / main",0.0008710700,0,0.0008744997
"LZM22N-UDSYX-FW4PS2","AGBS7YL-NU6KDW-TRQQW3","2023-02-06 19:11:49","withdrawal","","currency","BTC","spot / main",-0.0008600000,0.0000100000,0.0000044997
"LT35A3-OXSEJ-POUVIK","QYYRWF3-R33BG6-R7DHLU","2023-02-13 17:21:12","deposit","","currency","EUR.HOLD","spot / main",250.0000,9.6300,240.3700
"LVBIYK-J3ISO-D3UJWL","TS54NUA-MKE44-2H2JPR","2023-02-13 17:21:12","spend","","currency","EUR.HOLD","spot / main",-236.8200,3.5500,0.0000
"LAEGSN-UVOBP-VDJX32","TS54NUA-MKE44-2H2JPR","2023-02-13 17:21:12","receive","","currency","BTC","spot / main",0.0118006500,0,0.0118051497
"LZQ5I2-Q7WJH-HYHJAN","AGBL3EV-GYT5CQ-OB7HYO","2023-02-13 17:23:50","withdrawal","","currency","BTC","spot / main",-0.0117900000,0.0000100000,0.0000051497
"LZUJZE-IHD3W-S6YYTN","QYY6TU6-TFYWRV-O4S2YF","2023-02-13 18:28:58","deposit","","currency","EUR.HOLD","spot / main",100.0000,4.0000,96.0000
"L2XRN4-K4EQM-JKFIDT","TSVDP3T-SMMUO-LQ6NVU","2023-02-13 18:28:58","spend","","currency","EUR.HOLD","spot / main",-94.5800,1.4200,0.0000
"LFSVI4-GEIBP-2FAK2D","TSVDP3T-SMMUO-LQ6NVU","2023-02-13 18:28:58","receive","","currency","BTC","spot / main",0.0046973300,0,0.0047024797
"LUL7S4-NR2BW-MBDR6N","AGBORTJ-H7TGHB-4QQ5HK","2023-02-13 18:30:46","withdrawal","","currency","BTC","spot / main",-0.0046900000,0.0000100000,0.0000024797
"LZ6MFV-WXSU6-VNS6W6","QYYTJ7H-Q3IJ72-BDP44V","2023-02-28 14:44:33","deposit","","currency","EUR.HOLD","spot / main",100.0000,4.0000,96.0000
"L3YPQZ-ZDZW6-HWIB2V","TSANELJ-6XSCP-OZGFWN","2023-02-28 14:44:33","spend","","currency","EUR.HOLD","spot / main",-94.5800,1.4200,0.0000
"L5LWOR-OCS4O-Y7WBFQ","TSANELJ-6XSCP-OZGFWN","2023-02-28 14:44:33","receive","","currency","BTC","spot / main",0.0042720200,0,0.0042744997
"L2E5NU-NNJRW-LJPG3G","AGBFG7C-VG4ESF-N3UFHU","2023-02-28 14:46:31","withdrawal","","currency","BTC","spot / main",-0.0042600000,0.0000100000,0.0000044997
"LBCYQI-KLI2I-HRYFKW","QYYYU2R-BN2Z7D-WRFXGK","2023-04-17 12:38:26","deposit","","currency","EUR.HOLD","spot / main",200.0000,7.7500,192.2500
"LCWNVK-I4MFO-IQVAWL","TSQLGTW-B674M-6MXXGB","2023-04-17 12:38:26","spend","","currency","EUR.HOLD","spot / main",-189.4100,2.8400,0.0000
"LWFGT3-7OQS6-HIS2VN","TSQLGTW-B674M-6MXXGB","2023-04-17 12:38:26","receive","","currency","BTC","spot / main",0.0070442100,0,0.0070487097
"LE2JDD-GGYRL-POHBLI","AGBZ7XU-RSRSGV-PJYOAU","2023-04-17 15:18:00","withdrawal","","currency","BTC","spot / main",-0.0070300000,0.0000100000,0.0000087097
