"Transaction ID",Timestamp,"Transaction Type",In/Out,"Amount Fiat",Fiat,"Amount Asset",Asset,"Asset market price","Asset market price currency","Asset class","Product ID",Fee,"Fee asset",Spread,"Spread Currency","Tax Fiat"
F1eeb06be-92bf-628c-b5ad-97c98f911176,2024-01-11T11:26:41+01:00,deposit,incoming,2000.00,EUR,-,EUR,-,-,Fiat,-,0.00000000,EUR,-,-,0.00
T1eeb0774-3725-6ff0-e83c-2ed4ed4db335,2024-01-11T12:47:59+01:00,buy,outgoing,2000.00,EUR,0.04587686,BTC,43594.96,EUR,Cryptocurrency,1,-,-,-,-,0.00
C1eeb077a-4a9c-6010-99fe-0d8f14a59efe,2024-01-11T12:50:40+01:00,withdrawal,outgoing,0,EUR,0.10848352,BTC,0.00,-,Cryptocurrency,1,0.00008970,BTC,-,-,-
F1eebafda-9d65-6e32-8699-bdec7300c111,2024-01-24T22:15:13+01:00,deposit,incoming,1000.00,EUR,-,EUR,-,-,Fiat,-,0.00000000,EUR,-,-,0.00
T1eebb50a-71fc-6900-fac9-3af33a417488,2024-01-25T08:09:22+01:00,buy,outgoing,1000.00,EUR,0.02674165,BTC,37394.85,EUR,Cryptocurrency,1,-,-,-,-,0.00
F1eec5029-bac8-6fc0-96f2-d383776f0215,2024-02-06T16:15:48+01:00,deposit,incoming,1000.00,EUR,-,EUR,-,-,Fiat,-,0.00000000,EUR,-,-,0.00
F1eec735a-c301-6788-a250-217df9bdfe91,2024-02-09T11:26:23+01:00,deposit,incoming,2000.00,EUR,-,EUR,-,-,Fiat,-,0.00000000,EUR,-,-,0.00
T1eec7579-5936-60d0-68bb-fca32cb83fae,2024-02-09T15:29:12+01:00,buy,outgoing,3000.00,EUR,0.06769707,BTC,44315.06,EUR,Cryptocurrency,1,-,-,-,-,0.00
C1eec757d-1932-6c28-b7c2-15c5ca14e063,2024-02-09T15:30:48+01:00,withdrawal,outgoing,0,EUR,0.09437888,BTC,0.00,-,Cryptocurrency,1,0.00005980,BTC,-,-,-
F1eed2361-0fee-608a-9d4e-a76ebda5d4b9,2024-02-23T11:26:55+01:00,deposit,incoming,1500.00,EUR,-,EUR,-,-,Fiat,-,0.00000000,EUR,-,-,0.00
T1eed23e6-1f9a-64e0-b3d5-7d9b5d4a48df,2024-02-23T12:26:33+01:00,buy,outgoing,1500.00,EUR,0.03118941,BTC,48093.25,EUR,Cryptocurrency,1,-,-,-,-,0.00
F1eedd3fc-eca2-6b7e-baa4-776df492ca1e,2024-03-08T12:34:21+01:00,deposit,incoming,2500.00,EUR,-,EUR,-,-,Fiat,-,0.00000000,EUR,-,-,0.00
T1eedd400-7e3d-6040-b81b-fa4c8d239b64,2024-03-08T12:36:00+01:00,buy,outgoing,2500.00,EUR,0.03978461,BTC,62838.37,EUR,Cryptocurrency,1,-,-,-,-,0.00
C1eedd9cb-1b94-6594-9a2c-d1c2fb917ddf,2024-03-08T23:39:16+01:00,withdrawal,outgoing,0,EUR,0.07089340,BTC,0.00,-,Cryptocurrency,1,0.00008073,BTC,-,-,-
F1eedfcf1-f47b-63e6-8127-e5f380f6b3c5,2024-03-11T18:45:17+01:00,deposit,incoming,1000.00,EUR,-,EUR,-,-,Fiat,-,0.00000000,EUR,-,-,0.00
T1eedfd6f-fe5a-66e0-0da8-435d19be62b6,2024-03-11T19:41:42+01:00,buy,outgoing,1000.00,EUR,0.01484727,BTC,67352.45,EUR,Cryptocurrency,1,-,-,-,-,0.00
C1eee17e8-e875-627e-927f-59a0e3379a1b,2024-03-13T22:13:36+01:00,withdrawal,outgoing,0,EUR,0.01479943,BTC,0.00,-,Cryptocurrency,1,0.00004784,BTC,-,-,-
F1eef9e4b-3643-6836-a72b-0defa793a3ee,2024-04-14T00:25:15+02:00,deposit,incoming,1000.00,EUR,-,EUR,-,-,Fiat,-,0.00000000,EUR,-,-,0.00
T1eef9e4e-d7c4-6c70-9df5-0f9e8eda49eb,2024-04-14T00:26:55+02:00,buy,outgoing,1000.00,EUR,0.01644181,BTC,60820.55,EUR,Cryptocurrency,1,-,-,-,-,0.00
F1ef0ee18-a4f8-670e-81bf-bf779c6a2ea9,2024-05-10T17:25:32+02:00,deposit,incoming,1500.00,EUR,-,EUR,-,-,Fiat,-,0.00000000,EUR,-,-,0.00
T1ef0ee4e-3ec2-60d0-71a7-6e449bb44b5c,2024-05-10T17:49:34+02:00,buy,outgoing,1500.00,EUR,0.02607550,BTC,57525.26,EUR,Cryptocurrency,1,-,-,-,-,0.00
F1ef25dd9-6250-6dca-babd-1b84599f6ad8,2024-06-08T23:25:10+02:00,deposit,incoming,1500.00,EUR,-,EUR,-,-,Fiat,-,0.00000000,EUR,-,-,0.00
T1ef25e95-c3c2-6d30-4080-abcd2ce0a6fc,2024-06-09T00:49:29+02:00,buy,outgoing,1500.00,EUR,0.02293769,BTC,65394.55,EUR,Cryptocurrency,1,-,-,-,-,0.00
C1ef269fc-cceb-6db8-b348-df02944bb477,2024-06-09T22:35:24+02:00,withdrawal,outgoing,0,EUR,0.06537128,BTC,0.00,-,Cryptocurrency,1,0.00008372,BTC,-,-,-
F1ef321fe-c9af-634c-8512-d1db7f64a064,2024-06-24T13:50:16+02:00,deposit,incoming,30.00,EUR,-,EUR,-,-,Fiat,-,0.00000000,EUR,-,-,0.00
F1ef321fe-cd09-60c4-b742-0f6e1ecc9f78,2024-06-24T13:50:17+02:00,deposit,incoming,40.00,EUR,-,EUR,-,-,Fiat,-,0.00000000,EUR,-,-,0.00
F1ef3d0d5-bdeb-694e-a76a-1beef7092a71,2024-07-08T11:35:05+02:00,deposit,incoming,1000.00,EUR,-,EUR,-,-,Fiat,-,0.00000000,EUR,-,-,0.00
T1ef3d11d-0752-6050-be16-4cc1cb6bcd3b,2024-07-08T12:07:01+02:00,buy,outgoing,1070.00,EUR,0.01976369,BTC,54139.69,EUR,Cryptocurrency,1,-,-,-,-,0.00
T1ef3d11d-0752-6050-be16-4cc1cb6bcd3b,2022-12-27T12:07:01+02:00,buy,outgoing,500.00,EUR,0.03009409,BTC,54139.69,EUR,Cryptocurrency,1,-,-,-,-,0.00
